"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Guam","GUM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","CO2 emissions (kt)","EN.ATM.CO2E.KT","660.06","737.067","678.395","616.056","649.059","1078.098","1180.774","1323.787","1331.121","1367.791","1580.477","1499.803","1562.142","1804.164","1554.808","1826.166","1752.826","1899.506","2057.187","1521.805","1789.496","1800.497","1404.461","1246.78","1404.461","1419.129","1045.095","1309.119","1404.461","1184.441","1180","1150","1080","1090","1410","1530","1580","1720","1750","1740","1660","1640","1620","1620","1670","1480","1330","1600","1600","1620","1760","1830","2000","1980","2060","2050","2310","2320","2440","","",
"High income","HIC","CO2 emissions (kt)","EN.ATM.CO2E.KT","5798977.20372845","5926072.78308397","6202366.43741081","6549112.08346592","6882065.0601966","7183789.36317948","7497295.74852158","7832862.90985669","8247889.56424048","8783274.52981661","9550102.45196562","9740081.78137089","10228525.3028489","10763972.563538","10510987.9569132","10168655.5463136","10734639.871362","10949354.5136089","11232112.0312077","11535393.7120138","11294922.1170733","10837684.2941668","10432965.4044695","10401082.7656708","10691195.2596032","10814460.6760657","10833128.4449077","11130699.7403617","11538242.6751786","11837259.2172527","11460760.0622572","11517434.7440455","11538398.5671777","11643317.7439626","11843229.7956201","12015625.4046045","12383642.5384444","12608798.3784356","12613771.7206669","12705533.9613441","12997901.2603831","13062911.404017","12973095.6968771","13194725.3556962","13345240.2971179","13397664.2160477","13335232.465005","13505864.9834032","13237467.563315","12497886.731913","13023889.0117966","12779818.1652863","12635662.5795046","12733610.9241457","12533637.7248378","12490171.9366894","12388259.1860484","12320925.4316999","12366368.3272107","","",
"Hong Kong SAR, China","HKG","CO2 emissions (kt)","EN.ATM.CO2E.KT","2955.602","3373.64","3685.335","4250.053","4224.384","4807.437","5166.803","6057.884","6204.564","7759.372","8401.097","9160.166","9284.844","9295.845","10678.304","11019.335","12508.137","14231.627","15753.432","15885.444","16662.848","18690.699","19702.791","21015.577","22346.698","23014.092","25698.336","28272.57","29482.68","30348.092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","CO2 emissions (kt)","EN.ATM.CO2E.KT","616.056","737.067","700.397","711.398","722.399","751.735","806.74","876.413","1224.778","1177.107","1389.793","1331.121","1536.473","1510.804","1558.475","1668.485","1778.495","2002.182","2049.853","1932.509","2057.187","1822.499","1763.827","2002.182","1987.514","1906.84","1848.168","2174.531","2504.561","2728.248","2460","2460","2740","2910","3270","3880","3930","4070","4710","4780","5040","5850","6130","6770","7610","7030","8030","8610","8650","8150","8210","8780","9140","9340","9460","9870","9400","9000","9770","","",
"Heavily indebted poor countries (HIPC)","HPC","CO2 emissions (kt)","EN.ATM.CO2E.KT","19648.5311539373","20698.3191051718","20733.3120368796","21924.4303420286","23848.5445272693","27860.27643612","29061.9472843933","31668.6486629553","35410.46681204","39636.650749198","42971.7495342518","46155.2529199849","47319.949280619","50769.6689773542","51856.718913946","51764.2826948481","50418.4113447821","52219.06889281","54348.7993808266","55210.3049428194","59687.9153959238","58593.4705618041","59887.5776291753","60275.8097493867","58415.9930211361","62220.6677992074","54999.5503632761","61067.0637848651","66173.2405278354","70070.3515250047","54317.307039064","53893.8195886016","53430","58010","62240","64980","66940","71390","75730","77890","79050","82780","87790","91840","97010","103480","112740","121540","128480","135980","146550","157750","164190","169460","179610","188990","197520","204450","211980","","",
"Croatia","HRV","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20330","14630","14960","15490","14830","15400","15340","17050","18470","18510","18050","19200","20280","21610","21110","21470","21620","22890","21740","20320","19460","19040","17460","17040","16340","16680","16940","17480","16580","","",
"Haiti","HTI","CO2 emissions (kt)","EN.ATM.CO2E.KT","286.026","297.027","304.361","249.356","300.694","304.361","304.361","260.357","264.024","315.362","385.035","403.37","392.369","421.705","473.043","484.044","674.728","707.731","755.402","755.402","751.735","766.403","825.075","894.748","913.083","942.419","843.41","913.083","1023.093","1037.761","1020","1000","900","700","190","900","1060","1270","1310","1380","1470","1600","1830","1810","1670","1710","1720","2040","2030","1990","2460","2800","2500","2730","3060","3320","3400","3370","3330","","",
"Hungary","HUN","CO2 emissions (kt)","EN.ATM.CO2E.KT","45371.791","48976.452","50560.596","56281.116","62401.339","61293.905","61733.945","58829.681","61154.559","62419.674","70003.03","69280.631","69430.978","73068.642","74102.736","75389.853","80013.94","83204.23","88187.683","86229.505","86860.229","86618.207","86871.23","89137.436","90853.592","86104.827","83537.927","84436.342","78264.781","76090.25","67420","64550","58000","58380","57780","57430","58460","56990","57350","57910","54630","56300","55630","58230","56390","55960","55460","53860","53030","47840","47880","46910","43430","40760","40630","43380","44480","46550","46390","","",
"IBRD only","IBD","CO2 emissions (kt)","EN.ATM.CO2E.KT","3686202.87467813","3522356.98708762","3552231.78721931","3740752.37484008","3952357.15617641","4213514.49670442","4475464.5809083","4553562.75815112","4810907.17393372","5156345.2306985","5659578.05446933","6065497.28363632","6391844.86633683","6726863.88228019","6954923.25200685","7422614.27897078","7803560.54169855","8205527.35199303","8674041.27803161","8876987.14667888","9075374.75762466","8953266.87503892","9313890.54648319","9555357.57024298","9845099.90359183","10516564.0066498","10783592.6021893","11107073.797599","11540474.4908709","11639002.6528515","8929720.30952364","9061579.14943692","8992417.32566994","9031023.06700145","8956021.91305198","9380375.02158938","9481820.10820219","9604718.38526994","9677669.23430414","9665027.35424118","10029521.56074","10330186.2747057","10748678.5116316","11610546.6861138","12603314.3275769","13515600","14452560","15353190","15854650","16275440","17496240","18689600","19263990","19763900","19941800","19845450","19902630","20344460","20938730","","",
"IDA & IBRD total","IBT","CO2 emissions (kt)","EN.ATM.CO2E.KT","3808954.89320477","3645457.32996983","3680192.92220497","3880449.53027444","4101888.39265883","4378181.03152799","4649888.49783629","4734633.48070461","5001838.66529759","5365035.81169504","5893552.20549593","6321076.69423071","6633696.88964447","6990439.72014498","7243264.16510371","7701704.79095957","8100887.50620191","8507430.01642363","8984638.77387482","9230395.72158008","9440138.97186102","9323198.06823183","9689386.04166676","9937686.41585275","10251683.9759276","10939085.3368802","11215773.491701","11546789.7596683","12013083.1602502","12084272.9257948","9350193.57130029","9491934.77250054","9425822.72036836","9465732.70189641","9382609.42960925","9812860.45194148","9931689.49400806","10063001.0409569","10156124.331189","10158346.557399","10533872.7568032","10856636.0987622","11287757.9935281","12157165.8662132","13178924.0678635","14120713.3616227","15084787.4142322","16011930.2825911","16526875.0958379","16937581.8917485","18196514.9197533","19417415.8338957","19985125.2009012","20501044.1792102","20703760.9472236","20620736.7416826","20724486.9753909","21220900.8697318","21860535.5217268","","",
"IDA total","IDA","CO2 emissions (kt)","EN.ATM.CO2E.KT","101210.418674966","105424.784272924","112047.471816903","125406.120907979","135395.611199833","151476.061086427","160241.831190354","167929.648484202","176914.562840727","195115.381441649","220832.255624925","243219.905849197","219002.743772167","242763.872227301","272483.050339928","251926.002267204","270167.34714303","269504.025511182","273294.434836028","327941.476774094","339964.181351343","349067.086245545","350452.954654942","355599.619816336","383571.656130792","393722.846103897","402269.034628513","406965.588682581","444206.360299201","405407.967350652","418080.753097669","427979.219241527","431136.576134594","432424.004894742","424263.531257583","429869.42184311","447386.562768588","455800.467264043","476166.171036777","491230.101253942","502087.079223379","524206.524535527","536634.773826405","543536.01416662","572042.899742284","601137.556154559","627789.923400913","653864.653790597","667089.497614359","656519.756535291","694086.420178727","720951.601003854","713695.671365683","729482.982087283","754423.089864005","767965.184070425","814983.254246412","869798.90069809","915178.569633271","","",
"IDA blend","IDB","CO2 emissions (kt)","EN.ATM.CO2E.KT","41836.9448017611","44306.1305107267","47859.7063826801","55618.9576164918","61026.2545103096","70983.2033559545","75629.3534270609","76881.9605989135","74210.5840793503","84084.4518370661","104132.557439626","123503.232632918","132565.462070097","151929.746410471","179186.734104101","154403.006489589","171172.604545411","163759.215160978","164149.057188952","206264.777916038","214975.510442747","218567.169782447","221794.550505843","219775.040983877","238628.057090842","247396.30729381","255058.939942031","243465.932749477","273202.571375142","238883.691207547","276634.874178646","287990.410605148","300176.35189808","308310.317637944","299566.054345643","296174.400734556","305148.77621876","305989.1859631","316394.258988264","325768.829588821","332532.127055178","344417.922010846","348680","345080","363280","373040","385540","395160","396420","377500","398410","414270","400120","415140","423580","424310","449690","474460","505410","","",
"Indonesia","IDN","CO2 emissions (kt)","EN.ATM.CO2E.KT","21404.279","26024.699","22995.757","22783.071","22394.369","24689.911","23395.46","24561.566","27586.841","33391.702","35822.923","38987.544","43340.273","49134.133","51260.993","53963.572","61810.952","82434.16","93933.872","95096.311","94784.616","100160.438","105407.915","104956.874","112184.531","121245.688","121740.733","123372.548","132162.347","130966.905","147990","161840","170910","185480","196930","222840","234480","257670","261140","278990","280170","301830","306060","335370","343160","344400","364100","379980","377180","394490","416940","480460","486750","454320","490050","490840","494980","532920","583110","","",
"IDA only","IDX","CO2 emissions (kt)","EN.ATM.CO2E.KT","53597.8693679503","55281.7744109277","58174.2007505509","63566.4126928714","67895.6043033554","73797.1304230296","77637.9680791356","83258.9549277794","93128.8365540278","100922.727574652","107069.087967225","110889.340772458","82802.3386735746","87810.7708618992","91651.248904474","93727.0451373132","96052.7529559243","101397.800749574","104350.837650837","117800.161154515","121202.018862878","126174.749396093","124792.585319681","130836.365506203","139879.084721987","141623.365585945","142867.82327836","156164.139688708","164503.026275176","158479.647034431","139265.523635125","137618.750759387","128283.607020043","121258.576732205","121965.175988562","131099.763476538","139609.676259619","147249.14068342","157172.251979215","162794.324323272","166839.349051692","177018.474570804","185210.929716971","195871.361975921","206040.246926101","225446.125053584","239578.110180722","256075.666731316","268149.29750298","276843.540526849","293392.299922107","304298.505835442","311456.663519405","312058.04927499","328591.061064114","341495.372361914","363012.750837155","393010.68776403","407199.314404265","","",
"Isle of Man","IMN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","CO2 emissions (kt)","EN.ATM.CO2E.KT","120581.961","130402.187","143467.708","154083.673","150647.694","165972.087","171765.947","172238.99","187336.029","190724.337","195143.072","205869.047","217849.136","224343.393","231992.755","252201.592","263785.645","279051.366","283096.067","296891.321","314016.211","338838.134","349637.449","378669.088","388118.947","426673.785","457571.927","488481.07","527563.956","579008.299","562480","607340","630260","652470","687950","741100","776720","821480","839830","904090","940170","953880","987530","1015890","1087190","1137740","1214250","1336100","1423880","1568530","1665310","1760800","1908570","1966810","2136870","2150220","2183280","2301440","2434520","","",
"Not classified","INX","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","CO2 emissions (kt)","EN.ATM.CO2E.KT","11180.683","12365.124","13120.526","13461.557","14231.627","13732.915","15111.707","16413.492","17821.62","18514.683","19413.098","22497.045","22053.338","22860.078","23303.785","22053.338","22295.36","23567.809","23571.476","27388.823","26255.72","26039.367","25547.989","25709.337","25529.654","26725.096","28525.593","30197.745","29842.046","30018.062","31000","31510","31590","31720","32910","33520","34980","36150","38670","40280","42620","44910","44040","44220","44860","46780","47810","47020","46350","41020","40630","36360","37100","35720","35550","36990","38710","37530","37110","","",
"Iran, Islamic Rep.","IRN","CO2 emissions (kt)","EN.ATM.CO2E.KT","37392.399","36541.655","37462.072","41341.758","47560.99","53765.554","64161.499","67942.176","82404.824","83116.222","91873.018","101722.58","106115.646","129595.447","143911.415","139349.667","156643.239","163969.905","162470.102","164028.577","120900.99","112899.596","138007.545","149785.949","150658.695","160768.614","148399.823","159573.172","176115.009","191204.714","179240","217670","233400","231280","261180","272400","280240","291410","292830","326410","340750","351010","368720","390680","419710","451200","490770","523740","534090","551430","550890","561730","571120","592480","610670","602230","605760","620780","629290","","",
"Iraq","IRQ","CO2 emissions (kt)","EN.ATM.CO2E.KT","8265.418","8720.126","9031.821","9394.854","9075.825","19314.089","27704.185","18393.672","19717.459","22625.39","23908.84","28862.957","29552.353","30645.119","30942.146","33157.014","48800.436","43710.64","42317.18","52991.817","45558.808","32122.92","30623.117","38749.189","40204.988","44675.061","47751.674","52881.807","67927.508","73251.992","64850","46770","67390","88770","99730","96100","98220","115790","81460","64610","74570","84300","79410","72080","75290","88230","83890","77470","86040","107520","120230","131030","151860","162550","168840","162190","172350","174290","188140","","",
"Iceland","ISL","CO2 emissions (kt)","EN.ATM.CO2E.KT","1213.777","1092.766","1199.109","1305.452","1309.119","1397.127","1496.136","1444.798","1595.145","1265.115","1389.793","1474.134","1485.135","1752.826","1741.825","1617.147","1705.155","1906.84","1925.175","1987.514","1866.503","1752.826","1598.812","1547.474","1815.165","1628.148","1785.829","1851.835","1848.168","1903.173","1950","1910","1950","1980","2090","2000","2270","2150","2150","2120","2230","2160","2240","2230","2320","2290","2330","2380","2180","2110","1960","1890","1860","2030","2050","2060","2070","2170","2200","","",
"Israel","ISR","CO2 emissions (kt)","EN.ATM.CO2E.KT","6468.588","7069.976","7942.722","8210.413","9149.165","12944.51","13597.236","13542.231","13809.922","14818.347","16578.507","16248.477","16934.206","19310.422","19446.101","19647.786","19611.116","19893.475","21176.925","21019.244","21147.589","21213.595","24081.189","23938.176","23743.825","24869.594","26626.087","27385.156","30051.065","31756.22","33800","34520","36860","40500","43360","46770","48730","50970","51500","52980","57000","57950","61080","62890","63160","60990","64330","66590","66700","65720","70510","69820","76060","67000","64710","66140","65260","66040","61970","","",
"Italy","ITA","CO2 emissions (kt)","EN.ATM.CO2E.KT","109357.274","124549.655","146456.313","164780.312","175957.328","189767.25","214248.142","234427.643","249495.346","270008.544","296740.974","311588.657","328970.237","354320.208","359406.337","342310.783","367312.389","356175.71","373234.594","387466.221","388969.691","378020.029","369681.271","361364.515","367649.753","372134.494","366454.311","383670.876","389780.098","408907.17","405260","404070","402270","396930","392290","416420","412150","415520","426370","433010","436300","436570","443470","462200","472410","473830","466650","459370","444980","397060","405270","396690","376750","346450","327490","337860","333340","329190","324850","","",
"Jamaica","JAM","CO2 emissions (kt)","EN.ATM.CO2E.KT","1470.467","2130.527","2119.526","2398.218","4066.703","2992.272","3520.32","3868.685","3883.353","4272.055","4994.454","5753.523","6288.905","8298.421","7601.691","8188.411","7282.662","7447.677","9119.829","8536.776","8452.435","7414.674","6219.232","6450.253","5144.801","5045.792","4550.747","5383.156","4528.745","6728.945","7470","7400","8150","8320","8380","8680","9040","9200","9720","9980","10060","10080","10250","10590","10570","10560","12060","12020","9620","7880","7480","7600","7110","7580","7400","7290","7750","7190","8510","","",
"Jordan","JOR","CO2 emissions (kt)","EN.ATM.CO2E.KT","744.401","979.089","1048.762","1221.111","1243.113","1422.796","1584.144","1415.462","1507.137","1760.16","1558.475","1657.484","1917.841","2203.867","2229.536","2493.56","2951.935","3164.621","3641.331","3795.345","4726.763","5863.533","6292.572","7363.336","8353.426","8540.443","9281.177","9662.545","9314.18","9233.506","9930","9780","11920","12200","12990","13600","13870","14370","14610","14630","16270","16250","16870","17310","18580","19870","20170","21090","20010","20660","20200","20760","24120","23800","25590","25360","24860","26100","24700","","",
"Japan","JPN","CO2 emissions (kt)","EN.ATM.CO2E.KT","232781.16","283118.069","293220.654","325222.563","359318.329","386919.838","419743.155","489881.864","562565.471","653958.112","768823.22","797543.164","853373.239","915748.909","915873.587","870072.757","908902.62","935213.345","903886.164","955620.2","947571.135","929606.502","900200.829","883838.675","940130.792","915396.877","915334.538","905734.332","989081.575","1025549.89","1092560","1105660","1117470","1109660","1162940","1172790","1186230","1173990","1131250","1165890","1182950","1170620","1206970","1215780","1211090","1213820","1190260","1226360","1159620","1101210","1156080","1212170","1252220","1260900","1219820","1181500","1171390","1151930","1106150","","",
"Kazakhstan","KAZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237570","247530","255650","218350","196060","172480","149900","126810","130320","118250","114680","111870","121460","136300","150220","162480","180210","189110","232010","204220","223570","242190","241490","256340","205230","206640","223020","225560","220450","","",
"Kenya","KEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","2427.554","2401.885","2625.572","2856.593","2827.257","2467.891","2684.244","2702.579","2819.923","3131.618","3083.947","3685.335","3872.352","3920.023","4950.45","4976.119","4609.419","5056.793","5324.484","5038.458","6197.23","6527.26","4693.76","4660.757","4319.726","3769.676","4162.045","5174.137","4789.102","5192.472","6140","5890","5950","5860","5870","6370","6970","6640","7160","7490","8230","7610","7420","6530","7430","8330","9300","9370","9910","11710","12640","13030","12130","14100","15030","17090","18770","18890","18400","","",
"Kyrgyz Republic","KGZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22760","20420","13800","10110","6550","4600","5770","5690","6030","4790","4670","3970","4970","5590","5560","5300","5320","6470","7510","6760","6350","7620","10060","9380","9710","10270","9700","9340","11000","","",
"Cambodia","KHM","CO2 emissions (kt)","EN.ATM.CO2E.KT","234.688","286.026","308.028","388.702","341.031","403.37","469.376","418.038","491.378","1345.789","1173.44","249.356","117.344","128.345","73.34","73.34","73.34","73.34","51.338","29.336","286.026","300.694","337.364","366.7","410.704","418.038","432.706","436.373","451.041","451.041","1260","1300","1350","1380","1470","1510","1610","1700","1940","1910","1960","2150","2210","2380","2380","2640","2950","3600","3940","4730","4920","5190","5420","5580","6630","8580","9900","11370","11160","","",
"Kiribati","KIR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","7.334","11.001","18.335","18.335","11.001","11.001","22.002","33.003","11.001","22.002","29.336","25.669","36.67","33.003","33.003","33.003","22.002","22.002","25.669","29.336","29.336","25.669","22.002","22.002","22.002","18.335","22.002","22.002","22.002","20","20","20","30","30","30","30","30","30","30","40","30","40","50","50","70","70","60","60","60","50","50","60","60","60","60","80","80","80","","",
"St. Kitts and Nevis","KNA","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","22.002","14.668","18.335","18.335","22.002","22.002","22.002","33.003","25.669","25.669","29.336","29.336","29.336","36.67","33.003","36.67","36.67","33.003","36.67","51.338","55.005","66.006","51.338","51.338","51.338","58.672","55.005","66.006","66.006","110","110","150","140","150","150","150","160","180","180","190","210","230","230","240","220","230","250","250","700","240","260","350","230","230","240","250","240","260","","",
"Korea, Rep.","KOR","CO2 emissions (kt)","EN.ATM.CO2E.KT","12552.141","14462.648","17278.904","21103.585","22218.353","25005.273","30014.395","35151.862","37242.052","42522.532","53783.889","58616.995","60336.818","73094.311","75686.88","81829.105","93306.815","105712.276","113405.642","133211.109","134868.593","139742.036","141905.566","150904.384","163911.233","178333.544","182451.585","192660.513","221959.843","235846.772","249250","274040","296210","326630","353230","384310","408880","430480","365670","400940","455690","470520","461940","464610","484900","480080","486940","501500","513190","525390","574260","597290","598960","597640","586000","606510","614780","625350","630870","","",
"Kuwait","KWT","CO2 emissions (kt)","EN.ATM.CO2E.KT","7803.376","9981.574","14290.299","17025.881","25335.303","35419.553","35151.862","25441.646","22442.04","26831.439","25041.943","27139.467","27634.512","24242.537","19328.757","16827.863","18474.346","17220.232","21000.909","17667.606","24675.243","25214.292","21169.591","21609.631","28367.912","29159.984","35320.544","31470.194","32914.992","35885.262","29250","35750","23010","29260","33750","33800","32940","34050","39890","43730","47170","50820","53390","55630","59490","67250","69670","68740","72910","75040","78250","81160","83590","85260","83580","88040","89880","89720","89460","","",
"Latin America & Caribbean (excluding high income)","LAC","CO2 emissions (kt)","EN.ATM.CO2E.KT","208791.646","217387.094","227951.721","231178.681","253195.349","258116.463","280353.151","297195.682","321944.265","350770.552","384888.32","418518.377","443420.974","488748.761","516801.311","541912.927","574197.195","596782.248","651130.855","693660.721","720330.812","716513.465","741328.054","709285.808","712696.118","727023.087","754950.959","797796.187","811356.753","869728.059","730330","756650","772120","796090","841170","854470","915350","971060","1016750","1007260","1045530","1046680","1043740","1065120","1109240","1143950","1182150","1231290","1272910","1236790","1312820","1365790","1406200","1443720","1463440","1465780","1442170","1421350","1408370","","",
"Lao PDR","LAO","CO2 emissions (kt)","EN.ATM.CO2E.KT","80.674","113.677","132.012","146.68","172.349","179.683","234.688","319.029","168.682","319.029","572.052","421.705","487.711","517.047","293.36","253.023","223.687","231.021","231.021","223.687","187.017","150.347","157.681","179.683","183.35","205.352","209.019","212.686","212.686","231.021","510","550","590","610","630","670","750","790","820","850","900","1000","1110","1150","1210","1260","1640","1730","2050","2540","2880","3040","3270","3910","4420","8660","15360","18510","18790","","",
"Lebanon","LBN","CO2 emissions (kt)","EN.ATM.CO2E.KT","2581.568","2684.244","2856.593","3028.942","3267.297","3318.635","3630.33","3571.658","3700.003","4352.729","3949.359","5339.152","5727.854","7172.652","7231.324","6431.918","6127.557","5573.84","5713.186","6156.893","6178.895","6351.244","6112.889","7319.332","7051.641","8056.399","7759.372","7968.391","7660.363","8052.732","5620","7040","7020","10330","11270","13300","14120","16130","16250","17030","15670","16890","16840","17410","17880","17280","16230","15050","18660","21920","20880","21180","23480","23240","24940","27050","27810","29280","27710","","",
"Liberia","LBR","CO2 emissions (kt)","EN.ATM.CO2E.KT","165.015","161.348","253.023","355.699","484.044","557.384","612.389","612.389","883.747","1272.449","1452.132","1525.472","1507.137","1481.468","1723.49","1485.135","1477.801","1474.134","1507.137","1947.177","2042.519","1939.843","601.388","711.398","700.397","722.399","729.733","766.403","817.741","667.394","450","370","400","420","420","420","430","450","490","400","430","450","450","480","560","670","690","640","540","540","730","850","950","910","1220","1260","1410","1260","1320","","",
"Libya","LBY","CO2 emissions (kt)","EN.ATM.CO2E.KT","693.063","1195.442","1048.762","1463.133","663.727","1015.759","2629.239","18507.349","30139.073","35551.565","32331.939","21646.301","15232.718","14587.326","9347.183","11580.386","17916.962","20106.161","21239.264","26032.033","26904.779","28811.619","30762.463","30414.098","28624.602","31418.856","34059.096","32566.627","36398.642","37322.726","36090","33320","30300","30840","35910","37490","39400","38940","39900","38060","39870","41430","43600","44280","45490","49130","49370","46290","51470","53810","57230","38050","52300","54990","59700","53840","51180","56810","58940","","",
"St. Lucia","LCA","CO2 emissions (kt)","EN.ATM.CO2E.KT","14.668","18.335","18.335","22.002","22.002","25.669","29.336","33.003","36.67","62.339","66.006","69.673","77.007","80.674","73.34","77.007","84.341","69.673","99.009","150.347","113.677","95.342","113.677","102.676","113.677","128.345","132.012","146.68","165.015","165.015","170","180","270","260","280","310","320","320","360","370","360","420","380","430","420","380","410","320","320","1050","400","380","520","320","360","380","350","370","390","","",
"Latin America & Caribbean","LCN","CO2 emissions (kt)","EN.ATM.CO2E.KT","302630.89494426","309662.067320706","328908.412046063","328599.312099281","354343.985980036","365326.344330152","383205.727998821","413009.666240927","438970.337674855","477611.555118327","527138.30442256","552797.324101196","578914.407556387","632157.804413491","666400.864782874","674556.63446302","717864.143874174","739110.110095743","793615.975410185","849417.826043664","892405.063220802","883057.582902461","907204.619708886","865409.093169942","879966.583434643","907461.582315247","924540.285398879","970838.243692753","994035.636084366","1052388.49230273","899521.560010083","924182.417785927","944563.712031833","974815.448528499","1024289.64259076","1048116.95117549","1130638.32109483","1199782.24302034","1244844.72551017","1233591.81143026","1274171.42570939","1276987.19553787","1283696.25000286","1298313.8565493","1354314.13086386","1409297.88177464","1445292.97550269","1505460.99577278","1563575.63876721","1531575.48201604","1613466.60742502","1675332.22177943","1734371.90107131","1778631.33007214","1790321.34921568","1782849.90219785","1747810.34046936","1713340.03184698","1689187.43577303","","",
"Least developed countries: UN classification","LDC","CO2 emissions (kt)","EN.ATM.CO2E.KT","33594.5529057139","34718.0317934333","37462.7071358964","40554.0648692014","42828.3607492896","47159.9657815857","48937.9206840264","52290.306493596","57912.1768546612","63303.6426927319","67439.4038804827","67911.7062591936","48240.1201930481","51546.2368440244","51815.0268156484","50640.0306539774","48528.1094483596","50106.2905674668","52905.5461290947","56795.321004169","59525.4591445222","58519.4166793006","57847.4417502404","59963.2028125957","61821.6934735394","63538.109435196","64521.1127599927","67781.1511301191","70591.9262619595","69966.0296137492","68556.1550595224","67971.7822707692","67459.1745613365","67540.6469943816","71247.6426979333","83794.3973868775","87501.3930904292","93184.0952953244","96055.9985601639","102624.713474424","107350.11459104","115558.462220333","120833.802260003","135386.333065765","143104.97099838","150762.592030343","160932.075472525","173857.488927538","184545.616025271","201213.399387007","217047.285106483","229443.885422503","239989.639752045","258124.571461542","277684.823890682","288955.977099205","310386.331181776","331230.383124353","338640.029134978","","",
"Low income","LIC","CO2 emissions (kt)","EN.ATM.CO2E.KT","37739.3429023399","41113.5041228025","45470.8393043296","48539.6814594293","52949.9477694979","62860.2642756571","68590.0219797928","74285.6061787349","86208.3624351869","95480.7735110646","105486.016420539","144751.373888046","124619.382272852","133523.478903865","140548.032749227","146984.042894031","150663.390286548","156590.59490958","151768.333621143","164013.839648868","166960.355207787","172181.307390151","171547.199016002","185983.606432254","200716.184226851","208469.772849677","223350.435833446","248612.250283821","277538.223902181","287524.481530993","190153.091954135","186021.58009998","170241.068657043","159759.134493445","155080.990477574","153315.068564298","147903.705508411","143277.196636203","141211.790889682","148574.962376031","156041.404149707","163435.556722254","162960.513400554","170261.722714508","176943.310304505","195294.440362349","204351.244560847","199022.497734821","214843.505753176","200406.31958499","200912.343992888","185401.146836511","175662.758741662","156787.615063905","163116.881907559","147652.168422256","156142.398541008","152609.069963241","149413.711945085","","",
"Liechtenstein","LIE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","210","210","210","200","200","210","220","230","230","220","210","220","230","230","230","230","200","220","210","190","180","190","190","160","160","150","160","140","","",
"Sri Lanka","LKA","CO2 emissions (kt)","EN.ATM.CO2E.KT","2258.872","2335.879","2563.233","2533.897","2273.54","2658.575","2662.242","2948.268","3241.628","4319.726","3597.327","3197.624","3542.322","3689.002","2933.6","2896.93","2805.255","2918.932","3450.647","3828.348","3410.31","4033.7","4499.409","4884.444","3883.353","3956.693","3703.67","4074.037","3490.984","3483.65","3840","3980","5250","5090","5770","5820","8360","8340","8610","9500","10930","10850","11380","12410","12870","13980","12410","13590","12810","12290","13070","15420","16830","14480","17600","20360","21930","23310","21630","","",
