"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","CO2 emissions (kt)","EN.ATM.CO2E.KT","575.719","1771.161","1591.478","1195.442","1598.812","1228.445","649.059","1004.758","1103.767","1272.449","2592.569","3039.943","3681.668","5522.502","5405.158","5753.523","6574.931","7469.679","7766.706","8133.406","7887.717","8525.775","9838.561","8228.748","9207.837","10194.26","11012.001","11430.039","12163.439","11738.067","10740","10350","12270","13070","13370","13540","14170","14420","15510","15450","15880","16390","17220","17960","17930","20700","22500","23010","24770","24730","25980","26030","26570","28760","30220","30600","30200","30380","30750","","",
"Bahamas, The","BHS","CO2 emissions (kt)","EN.ATM.CO2E.KT","410.704","546.383","726.066","707.731","1085.432","1316.453","1092.766","1705.155","1631.815","1745.492","2574.234","6732.612","6490.59","7873.049","7389.005","8254.417","6464.921","9717.55","6607.934","6930.63","7990.393","2801.588","2262.539","2016.85","1855.502","1510.804","1411.795","1422.796","1540.14","1947.177","1780","1880","2530","2100","2040","2080","1970","1770","2270","2230","2140","2130","2280","2250","2160","2020","2020","2070","2110","6020","2080","2420","3640","3110","2620","2370","2190","2150","2260","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23970","21440","15970","13400","3160","3370","4190","8490","10760","10520","13950","13760","14560","14860","15570","16230","17910","18890","20760","20590","20840","23740","21960","21850","19490","19610","22340","22650","22540","","",
"Belarus","BLR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99850","96240","87780","76240","64670","57530","58480","59050","57230","54980","52990","51740","51770","52550","55770","56480","58810","57350","60270","57200","61470","58350","59790","59930","59470","54890","55210","56240","59310","","",
"Belize","BLZ","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","36.67","69.673","62.339","84.341","84.341","80.674","121.011","102.676","135.679","121.011","143.013","157.681","146.68","154.014","176.016","176.016","198.018","216.353","209.019","190.684","183.35","172.349","172.349","172.349","190.684","205.352","227.354","249.356","300.694","330","430","500","460","450","460","360","460","450","410","450","530","520","510","440","470","510","530","500","1460","560","640","690","500","490","660","650","650","680","","",
"Bermuda","BMU","CO2 emissions (kt)","EN.ATM.CO2E.KT","157.681","176.016","157.681","150.347","201.685","179.683","201.685","212.686","223.687","198.018","227.354","231.021","253.023","425.372","443.707","458.375","469.376","454.708","425.372","462.042","436.373","388.702","396.036","451.041","443.707","451.041","421.705","572.052","645.392","781.071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","CO2 emissions (kt)","EN.ATM.CO2E.KT","1004.758","1041.428","1100.1","1213.777","1481.468","1510.804","1690.487","1892.172","2178.198","2548.565","2486.226","3061.945","3571.658","3457.981","3516.653","4059.369","4580.083","4481.074","5027.457","4737.764","4668.091","4792.769","4349.062","4290.39","4041.034","4125.375","3777.01","4030.033","4308.725","4994.454","5680","5770","6820","7820","9040","8320","8120","8280","8610","7960","8000","7890","8230","9110","9420","10070","11160","12040","13020","13870","15040","16450","17250","18560","20170","20410","21610","22250","22710","","",
"Brazil","BRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","46908.264","49203.806","53695.881","55617.389","56735.824","56398.46","64304.512","66193.017","77421.371","84315.331","93761.523","102635.663","114362.729","132463.041","143456.707","151164.741","155154.437","162961.48","176925.416","188322.452","187090.34","171806.284","172176.651","166632.147","168806.678","181248.809","198883.412","207530.198","209363.698","214024.455","198260","205180","208660","215180","222720","241500","262900","281510","290760","300620","312670","319560","317280","309350","326760","330510","333980","351520","372160","350830","397730","417120","451760","482860","506780","479970","441910","449840","427710","","",
"Barbados","BRB","CO2 emissions (kt)","EN.ATM.CO2E.KT","172.349","194.351","260.357","190.684","179.683","205.352","267.691","337.364","440.04","480.377","429.039","484.044","502.379","480.377","491.378","568.385","531.715","590.387","630.724","601.388","674.728","685.729","645.392","685.729","748.068","847.077","916.75","942.419","946.086","990.09","980","980","1180","990","1030","1070","1070","1170","1270","1300","1240","1320","1370","1380","1360","1420","1470","1480","1780","4620","1590","1670","2210","1480","1290","1290","1310","1200","1250","","",
"Brunei Darussalam","BRN","CO2 emissions (kt)","EN.ATM.CO2E.KT","333.697","304.361","370.367","355.699","341.031","333.697","491.378","440.04","429.039","487.711","8210.413","7517.35","9460.86","9981.574","8184.744","7080.977","6024.881","6395.248","9541.534","7440.343","6882.959","1470.467","2093.857","2706.246","1917.841","2596.236","2299.209","3318.635","5716.853","6347.577","3920","3380","3590","3870","4140","4500","4710","5090","4310","4190","4430","4310","4360","5250","4920","4820","7220","6840","7220","7430","6860","7010","7130","7020","6970","5980","6410","6710","7140","","",
